address,area,broker,code,email,englishName,fax,industry,legalRepresentative,listingDate,name,phone,postcode,secretaries,shortname,totalStockEquity,transferMode,website
高新区益州大道中段1800号1栋1403、1404号,四川省,西南证券股份有限公司,871736,20204052@qq.com,,,软件和信息技术服务业,杨景云,20170915,成都佳诚弘毅科技股份有限公司,028-85137670,610000,郑丹,佳诚弘毅,1290325,协议,
滨江区江虹南路316号3号楼1001-1002室,浙江省,方正证券股份有限公司,871967,392443485@qq.com,,,零售业,谭铁,20170915,杭州安致电子商务股份有限公司,0575-86601378,310052,舒文杰,安致股份,1820498,协议,
天河区思成路23号229室,广东省,开源证券股份有限公司,872162,zhushanshan@jiubo.com,,,计算机、通信和其他电子设备制造业,郑向东,20170915,广东九博科技股份有限公司,020-38628633,510660,朱珊珊,九博股份,50500000,协议,
东湖新技术开发区光谷大道303号光谷芯中心三期3-11幢1-5层1厂房单元,湖北省,兴业证券股份有限公司,872166,liujinbo@newfiber.com.cn,,,软件和信息技术服务业,武治国,20170915,武汉新烽光电股份有限公司,027-51895830,430000,刘金波,新烽光电,10600000,协议,
新北区春江镇圩塘工业园胜利路28号,江苏省,川财证券有限责任公司,872172,ydx@cz-daqian.com,,,铁路、船舶、航空航天和其他运输设备制造业,沈文虎,20170915,常州大千科技股份有限公司,0519-83981823,213002,严得祥,大千科技,17000000,协议,
武侯区人民南路四段53号嘉云台办公楼7楼,四川省,中国银河证券股份有限公司,872176,kaikaifoot@163.com,,,房地产业,王远玲,20170915,成都信谊物业股份有限公司,028-85213555,610041,邱凯迪,信谊股份,10000000,协议,
高新技术产业开发区红松路36号圣世嘉业6号楼5楼512室,河南省,申万宏源证券有限公司,872178,Wxfyf1618@163.com,,,软件和信息技术服务业,翟淑红,20170915,河南铭视科技股份有限公司,0371-63661886,450000,王秀峰,铭视科技,23610000,协议,
丰泽区津淮街中段富临华城F幢2D,福建省,恒泰证券股份有限公司,872181,2604607908@qq.com,,,批发业,陈文武,20170915,福建省易乐电器股份有限公司,0595-22138896,362000,林志明,易乐股份,20000000,协议,
杭州市西湖区莲花街莲花商务中心南二号楼6楼601室,浙江省,财通证券股份有限公司,835577,liusy@jiuyicheng.com,"Hangzhou Passion & Patience commercial management Co., Ltd",010-64653886,商务服务业,郑卫星,20160115,杭州庞森商业管理股份有限公司,010-64653886,null,刘书阳,庞森商业,25543000,协议,www.hzpssy.com
北京市朝阳区亮马桥路21号枫花园汽车电影院内15号,北京市,中信建投证券股份有限公司,835003,xuyao@ltydmedia.com,"Longteng Media Co.,LTD.",010-87510379,广播、电视、电影和影视录音制作业,吴怀玺,20151230,龙腾艺都（北京）影视传媒股份有限公司,010-87510376,null,徐瑶,龙腾影视,38835447,协议,http://www.ltydmedia.com
南通工农南路88号海外联谊大厦2607-2612室,江苏省,金元证券股份有限公司,831540,suhaijuan@jsjyep.com,JIANGSU JINGYUAN ENVIRONMENTAL PROTECTION CO.，LTD.,0513-85332930,专用设备制造业,李武林,20141219,江苏京源环保股份有限公司,0513-85332929,null,苏海娟,京源环保,76463500,协议,www.jsjyep.com
河北省石家庄市元氏县常山路131号,河北省,财达证券股份有限公司,833881,hbys88888888@163.com,Hebei Yisen landscape Engineering Co. Ltd,0311-86531133,林业,耿军林,20151020,河北一森园林绿化工程股份有限公司,0311-86531133,null,温馨,一森园林,20790000,协议,www.hbyisen.com
北京市海淀区北四环中路209 号G 座5302 室,北京市,国金证券股份有限公司,834984,wm@99114.com,"BEIJING WANGKU INFORMATION TECHNOLOGY CO.,LTD",010-64451032,互联网和相关服务,王海波,20151221,北京网库信息技术股份有限公司,010-64429077,null,王鸣,网库股份,102040816,协议,www.99114.com
北京市海淀区上地三街9号D座503、505,北京市,安信证券股份有限公司,430267,2224210488@qq.com,"Beijing Safesoft Greatmaker Co., Ltd.",010-82825795-802,软件和信息技术服务业,朱国良,20130718,北京盛世光明软件股份有限公司,010-82825795-805,null,李磊,盛世光明,13500000,协议,http://www.ssgm.net/
深圳市南山区北环路与深云路交汇处智慧广场B栋2201,广东省,国信证券股份有限公司,833979,libicai@tiantu.com.cn,"TIAN TU CAPITAL CO., LTD.",0755-36909834,资本市场服务,王永华,20151116,深圳市天图投资管理股份有限公司,0755-36909866,null,李必才/王凤翔,天图投资,519773110,协议,www.tiantu.com.cn
北京市顺义区北京首都国际机场三号航站楼A4E10号(首都机场内),北京市,中信建投证券股份有限公司,872088,liuxinxing@ucfgroup.com,"Beijing United Money Exchange Co., Ltd.",010-89920439,其他金融业,蒋重模,20170828,北京联合货币兑换股份有限公司,010-89920098,null,刘新星,联合货币,38505529,协议,http://www.unitedmoney.com
内蒙古自治区巴彦淖尔市五原县工业园区,内蒙古自治区,新时代股份有限公司,836645,zhaoyanwei@sunriseseed.com,"Sunrise Agritec Co.,Ltd.",0478-5586607,农业,张永平,20160415,三瑞农业科技股份有限公司,0478-5586606/5586607,null,赵延伟,三瑞农科,105570000,协议,http://www.sunriseseed.com/
null,河南省,平安证券有限责任公司,836728,null,null,null,电力、热力生产和供应业,null,20160413,河南豫新太阳能科技股份有限公司,null,null,null,豫新科技,51400000,协议,null
山东博兴经济开发区,山东省,中银国际证券有限责任公司,834616,jbwuliu@jbwuliu.com,"Shandong Chambroad Logistics Co.,Ltd.",0543-2510676-668,道路运输业,马韵升,20151202,山东京博物流股份有限公司,0543-2872308,null,岳晓彤,京博物流,156231000,协议,http://www.jbwuliu.com/
南京市玄武区玄武大道699-8号2幢403室,江苏省,华泰联合证券有限责任公司,834406,duandf@tongdinggroup.com,"NanJing DVP Optoelectronic Tech CO., Ltd.",025-85582345,计算机、通信和其他电子设备制造业,徐道坤,20151125,南京迪威普光电技术股份有限公司,025-85582828,null,段代风,迪威普,41000000,协议,http://www.njdvp.com
深圳市宝安区西乡街道固戍社区东财工业区16号,广东省,招商证券股份有限公司,834742,info@smoorecig.com,SMOORE,0755-61156999,计算机、通信和其他电子设备制造业,陈志平,20151214,深圳麦克韦尔股份有限公司,0755-61156902,null,邱凌云,麦克韦尔,63300000,做市,http://www.smoorecig.com/
深圳市龙华区龙华街道龙华办事处清湖居委清湖村神径工业区厂房1栋1-4层,广东省,华创证券有限责任公司,834013,hemeihua@lihexing.com,"SHENZHEN LIHEXING CO., LTD.",0755-23503325,专用设备制造业,林宜潘,20151210,深圳市利和兴股份有限公司,0755-28030088,null,贺美华,利和兴,57777000,协议,www.lihexing.com
珠海市万山镇政府附楼508室,广东省,中信建投证券股份有限公司,834818,investor@zhbos.com,"ZHUHAI BLUE OCEAN STRATEGY MEDICAL CO.,LTD.",0756-3298089,零售业,罗志林,20151207,珠海市蓝海之略医疗股份有限公司,0756-3298839,null,廖丽玲,蓝海之略,364112050,协议,www.zhbos.com
深圳市光明新区公明办事处西田社区高新技术工业园第1、2、3、4、5、6栋、7栋A、7栋B、8栋,广东省,国信证券股份有限公司,835185,zhangxiaofeng@btrchina.com,BTR New Energy Materials Inc.,0755-21382898,非金属矿物制品业,贺雪琴,20151228,深圳市贝特瑞新能源材料股份有限公司,0755-26735393,null,张晓峰,贝特瑞,261000000,做市,www.btrchina.com
长沙经济技术开发区星沙大道,湖南省,中信证券股份有限公司,835815,xuexiaoqiao@kthb.net,"AeroSpace Kaitian Environmental Tech.Co.,Ltd",0731-88216952,生态保护和环境治理业,宋卫武,20160205,凯天环保科技股份有限公司,0731-88216952,null,薛小桥,航天凯天,560000000,协议,www.kaitiangroup.com
浙江省杭州市萧山区经济技术开发区北塘路436号-1,浙江省,海际证券有限责任公司,837638,dmb@qtec.cn,"ZheJiang Quantum Technologies Co.,Ltd.",0571-83736656,计算机、通信和其他电子设备制造业,郑韶辉,20160613,桐乡都飞通信科技股份有限公司,0571-87688729,null,包轶骏,九州量子,420213006,协议,http://www.qtec.cn/
保定市三丰西路671号,河北省,国泰君安证券股份有限公司,831415,luckybq1024@163.com,"Cheng Xing Municipal Design Institute Co., Ltd",0312-3282338,专业技术服务业,庄彦青,20141204,河北城兴市政设计院股份有限公司,0312-3282538,null,谢冰倩,城兴股份,81920000,协议,chengxingshizheng
保定市安新县老河头镇西地,河北省,海通证券股份有限公司,835995,654802011@qq.com,"Hebei Songhe Recycling Resources Co., Ltd.",0312-5162166,废弃资源综合利用业,臧会松,20160302,河北松赫再生资源股份有限公司,0312-5162166,null,李轩,松赫股份,124572000,协议,www.axhuacheng.com
厦门市思明区曾厝垵路8号,福建省,大通证券股份有限公司,839152,aym@uthink.vip,"U-Think Technology Co.,Ltd.",0592-6889020,软件和信息技术服务业,蒋明龙,20160905,厦门羽星科技股份有限公司,18030031203,null,安益民,羽星股份,15000000,协议,www.uthinkchina.net
福州市鼓楼区五凤街道软件大道89号软件园一期（海峡园）25#楼1层,福建省,东兴证券股份有限公司,831889,Liuxinxiao@fjtx.com,"Fujian Tianxin Investment Consulting Co., Ltd",0591-83517502,资本市场服务,陈民,20150128,福建天信投资咨询顾问股份有限公司,0591-87986100,null,刘鑫晓,天信投资,33000000,做市,http://www.stock888.cn/
沭阳县迎宾大道东首软件产业园A栋大厦803室,江苏省,中信建投证券股份有限公司,839976,quxiaoyan@itcast.cn,"Jiangsu Chuanzhiboke Education Technology Co.,Ltd",010-82932240,教育,黎活明,20161125,江苏传智播客教育科技股份有限公司,010-82935150,null,曲晓燕,传智播客,52845975,协议,www.itcast.cn
天津市河西区解放南路473号,天津市,招商证券股份有限公司,832337,hbhfgb@126.com,"Huan Bohai Golden Shore(Tianjin)Group Co.,Ltd.",022-88230863,商务服务业,金 洁,20150512,环渤海金岸（天津）集团股份有限公司,022-88235365,null,高巍,环渤海,196344000,协议,www.hbhhome.com
厦门市软件园二期望海路61号501单元N5-4,福建省,首创证券有限责任公司,870702,bs@dianchu.com,"Xiamen Dianchu Technology Co.,Ltd.",0592-5194298,互联网和相关服务,汪雄军,20170125,厦门点触科技股份有限公司,0592-5194298,null,潘文飞,点触科技,11625900,协议,http://www.dianchu.com/
宜春市袁州医药工业园,江西省,新时代股份有限公司,838260,56165293@qq.com,"JIANGXI HEALTH PHARMACEUTICAL CO.,LTD",0795-3653925,医药制造业,王宁,20160817,江西海尔思药业股份有限公司,0795-3653127,null,孙哲,海尔思,89999998,协议,http://www.jxhesyy.com
泰安市南关路16号,山东省,国融证券股份有限公司,833905,a16176@qq.com,"Prettech Machinery Manufacturing Co.,Ltd.",0538-6239626,专用设备制造业,范伟国,20151021,普瑞特机械制造股份有限公司,0538-6239628,null,范伟国,普瑞特,75000000,协议,http://www.prettech.com/
郑州市高新区西三环路289号河南省国家大学科技园东区7号楼3层,河南省,西南证券股份有限公司,834134,li@zoneyet.com,"Zhengzhou Zoneyet Technology Co., Ltd.",0371-85518370,互联网和相关服务,陈立杰,20151104,郑州中业科技股份有限公司,0371-85518370,null,李之光,中业科技,52500000,协议,www.zoneyet.com
山西省太原经济技术开发区经北街18号,山西省,国金证券股份有限公司,832982,sxjbsw001@163.com,SHANXI JINBO BIO-PHARMACEUTICAL INCORPORATED COMPANY,0351-7779881,医药制造业,杨霞,20150724,山西锦波生物医药股份有限公司,0351-7779886,null,张磊,锦波生物,38960000,协议,www.sxjbswyy.com
辽宁省鞍山市立山区越岭路288号,辽宁省,招商证券股份有限公司,832840,yesdongban@yes-lcd.com,"Yes Optoelectronics CO.,LTD.",0412-5211729,计算机、通信和其他电子设备制造业,JIA JITAO（贾继涛）,20150721,亚世光电股份有限公司,0412-5211903、0412-5218968,null,边瑞群,亚世光电,57800000,协议,www.yes-lcd.com
江西省奉新县,江西省,新时代股份有限公司,832081,jxjlly@126.com,Jiangxi Jinli City Mineral Limited By Share Ltd,0795-4605968,废弃资源综合利用业,熊牡,20150326,江西金利城市矿产股份有限公司,0795-4601696,null,解协威,金利股份,70720000,协议,www.jlcskc.com
扬州市江都区经济开发区科技大厦白沙中路1号,江苏省,国融证券股份有限公司,871139,vivian@554488.com,"Yangzhou Hongchuang Techonlogy Development Co.,Ltd.",0514-82888460,软件和信息技术服务业,张军,20170317,扬州宏创科技发展股份有限公司,0514-82196298,null,谈丽君,宏创科技,20000000,协议,http://www.yzhongchuang.com
茂名市茂南区金塘镇天安管区,广东省,国融证券股份有限公司,838399,gdgaoci@163.com,GUANGDONG GAOCI TECHNOLOGY CORPORATION LIMITED,0668-2736066,非金属矿物制品业,邹国奎,20160815,广东高瓷科技股份有限公司,13828672950,null,余冠齐,高瓷科技,26388889,协议,www.gdgaoci.com
上海市杨浦区昆明路518号北美广场25楼,上海市,海通证券股份有限公司,870522,zcb@xinlonghang.cn,"SHANGHAI XINLONGHANG INFORMATION TECHNOLOGY CO.,LTD.",021-6071-1977,互联网和相关服务,高云涛,20170228,上海信隆行信息科技股份有限公司,021-6071-1966,null,赵辰斌,信隆行,22515000,做市,www.easyrong.com
厦门市同安区凤南路746号3号厂房,福建省,安信证券股份有限公司,839230,2470134968@qq.com,"GREENTOUCH (XIAMEN) CO.,LTD",0592-7894477,皮革、毛皮、羽毛及其制品和制鞋业,陈志勇,20160926,古琳达姬（厦门）股份有限公司,0592-7892244,null,曾丽晖,古琳达姬,30000000,协议,http://www.greentouch.cn/
山东省日照市经济开发区温州路一号科技孵化大厦4楼,山东省,申万宏源证券有限公司,831712,lhy@chuangze.com.cn,Shandong Chuangze Information Technology CO.LTD,0633-8856000,软件和信息技术服务业,李庆民,20150120,山东创泽信息技术股份有限公司,0633-8856028,null,李建,创泽信息,32509620,协议,www.chuangze.cn
上海市浦东新区周浦镇紫萍路 916 号,上海市,中信建投证券股份有限公司,830931,guonini@benemae.com,Shanghai Benemae Pharmaceutical Corporation,021-61905522,医药制造业,桑会庆,20140811,上海仁会生物制药股份有限公司,021-61905511,null,郭妮妮,仁会生物,161974500,做市,www.benemae.com
北京市石景山区石景山路22号万商大厦21层2101-2116,北京市,浙商证券股份有限公司,831302,lenggongmin@fly99.com.cn,"Beijing Soaring World Technology Co.,Ltd.",010-53635525,互联网和相关服务,崔凯,20141106,北京飞扬天下网络科技股份有限公司,010-53635525,null,冷公民,飞扬天下,14590000,协议,www.fly99.com
深圳市宝安区大浪街道浪口社区华荣路德泰科技工业园4#厂房第二层,广东省,信达证券股份有限公司,832966,1628539683@qq.com,"Shenzhen Door Intelligent Control Technology Co.,Ltd.",0755-27620099,软件和信息技术服务业,王志刚,20150729,深圳市道尔智控科技股份有限公司,0755-27620066,null,蒋建梅,道尔智控,45361000,协议,www.drzk.cn
东营市东营区蒙山路38号,山东省,天风证券股份有限公司,835072,donghairongzizulin@163.com,"Shandong Donghai Financial Leasing Co., Ltd.",0546-8370178,货币金融服务,刘德杰,20151229,山东东海融资租赁股份有限公司,0546-8370178,null,唐庆祥,东海租赁,500000000,协议,www.dhrzzl.com
山东省潍坊市高密市胶河疏港物流园区驻地,山东省,安信证券股份有限公司,836960,yongpingziyuan@163.com,"Shandong Yongping Resources Co.,Ltd 永平资源",0536-2770999,废弃资源综合利用业,孙学萍,20160422,山东永平再生资源股份有限公司,0536-2770999,null,周金水,永平资源,106283000,协议,http://www.yongpingziyuan.com/
