hqbjw1	hqbjw2	hqbjw3	hqbjw4	hqbjw5	hqbsl1	hqbsl2	hqbsl3	hqbsl4	hqbsl5	hqcjbs	hqcjje	hqcjsl	hqgxsj	hqhycc	hqjrkp	hqjsd1	hqjsd2	hqjsrq	hqsjw1	hqsjw2	hqsjw3	hqsjw4	hqsjw5	hqssl1	hqssl2	hqssl3	hqssl4	hqssl5	hqsyl1	hqsyl2	hqzd	hqzdcj	hqzdf	hqzgcj	hqzjcj	hqzqdm	hqzqjc	hqzrsp	xxfcbj	xxhbzl	xxzrlx
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	153241	0	0.0	0.0	0.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	871736	佳诚弘毅	0.0	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	153241	0	0.0	0.0	0.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	871967	安致股份	0.0	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	153241	0	0.0	0.0	0.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	872162	九博股份	0.0	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	153241	0	0.0	0.0	0.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	872166	新烽光电	0.0	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	153241	0	0.0	0.0	0.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	872172	大千科技	0.0	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	153241	0	0.0	0.0	0.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	872176	信谊股份	0.0	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	153241	0	0.0	0.0	0.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	872178	铭视科技	0.0	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	153241	0	0.0	0.0	0.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	872181	易乐股份	0.0	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	5073600.0	48000	153241	0	105.7	-9.3	-9.3	20170915	228.7	0.0	0.0	0.0	0.0	1000	0	0	0	0	0.0	0	-9.3	105.7	-8.09	105.7	105.7	835577	庞森商业	115.0	1	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	4600000.0	62000	153241	0	50.0	-25.0	50.0	20170915	50.0	50.83	60.0	68.8	88.88	245000	100000	1000	1000	18000	0.0	0	-25.0	50.0	-25.0	100.0	75.0	835003	龙腾影视	100.0	1	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	840000.0	22000	153241	0	35.0	25.0	35.0	20170915	22.5	23.0	0.0	0.0	0.0	55000	50000	0	0	0	0.0	0	25.0	35.0	55.56	70.0	70.0	831540	京源环保	45.0	1	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	2207500.0	97500	153241	0	15.0	30.0	45.0	20170915	15.0	15.8	20.0	29.0	30.0	150600	5000	10000	2000	20000	0.0	0	30.0	15.0	100.0	60.0	60.0	833881	一森园林	30.0	1	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	105600.0	2000	153241	0	52.8	0.0	0.0	20170915	26.4	52.8	0.0	0.0	0.0	2000	9000	0	0	0	0.0	0	0.0	52.8	0.0	52.8	52.8	834984	网库股份	52.8	1	人民币	协议
18.21	18.1	18.0	15.21	15.0	1000	2000	4000	1000	1000	0	123350.0	3000	153241	0	19.35	23.09	32.65	20170915	19.3	19.35	19.45	19.47	20.0	2000	1000	1000	1000	1000	0.0	0	23.09	19.35	79.87	52.0	52.0	430267	盛世光明	28.91	0	人民币	协议
15.6	15.5	13.6	13.5	0.0	1000	3000	21000	8000	0	0	52000.0	1000	153241	0	52.0	26.0	26.0	20170915	25.0	26.0	34.0	34.97	34.98	82000	65000	25000	10000	3000	0.0	0	26.0	52.0	100.0	52.0	52.0	833979	天图投资	26.0	0	人民币	协议
45.21	45.16	0.0	0.0	0.0	1000	1000	0	0	0	0	90410.0	2000	153241	0	45.2	0.02	0.01	20170915	45.26	45.28	45.31	0.0	0.0	1000	2000	3000	0	0	0.0	0	0.02	45.2	0.04	45.21	45.21	872088	联合货币	45.19	0	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	109000.0	5000	153241	0	16.0	15.0	29.0	20170915	15.0	15.01	15.55	15.6	16.0	35000	2000	1000	1000	16000	0.0	0	15.0	16.0	50.0	45.0	45.0	836645	三瑞农科	30.0	1	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	495000.0	11000	153241	0	45.0	-45.0	0.0	20170915	45.0	0.0	0.0	0.0	0.0	99000	0	0	0	0	0.0	0	-45.0	45.0	-50.0	45.0	45.0	836728	豫新科技	90.0	1	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	43000.0	1000	153241	0	43.0	14.0	14.0	20170915	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	14.0	43.0	48.28	43.0	43.0	834616	京博物流	29.0	1	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	678000.0	30000	153241	0	22.0	0.0	18.0	20170915	20.0	22.0	40.0	0.0	0.0	2000	1000	4000	0	0	0.0	0	0.0	22.0	0.0	40.0	40.0	834406	迪威普	40.0	0	人民币	协议
37.7	37.65	37.15	0.0	0.0	2000	2000	1000	0	0	0	303060.0	8000	153241	0	36.82	0.28	0.05	20170915	38.42	38.5	38.52	0.0	0.0	1000	1000	1000	0	0	0.0	0	0.28	36.82	0.74	38.23	38.23	834742	麦克韦尔	37.95	1	人民币	做市
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	50000.0	2000	153241	0	12.0	14.0	26.0	20170915	12.2	23.98	0.0	0.0	0.0	2000	1000	0	0	0	0.0	0	14.0	12.0	58.33	38.0	38.0	834013	利和兴	24.0	1	人民币	协议
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	2922410.0	209000	153241	0	13.11	9.69	26.06	20170915	13.11	13.12	13.13	13.8	18.2	633000	12000	10000	20000	18000	0.0	0	9.69	13.11	36.96	39.17	35.91	834818	蓝海之略	26.22	0	人民币	协议
33.5	32.7	32.59	0.0	0.0	4000	30000	1000	0	0	0	677100.0	20000	153241	0	33.88	0.21	0.01	20170915	34.0	34.03	34.21	0.0	0.0	8000	2000	5000	0	0	0.0	0	0.21	33.5	0.63	34.0	33.51	835185	贝特瑞	33.3	1	人民币	做市
0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	40000.0	2000	153241	0	8.0	16.0	24.0	20170915	16.0	0.0	0.0	0.0	0.0	13000	0	0	0	0	0.0	0	16.0	8.0	100.0	32.0	32.0	835815	航天凯天	16.0	0	人民币	协议
