earningsPerShare,hqzqdm,income,netAssets,netAssetsPerShare,netAssetsYield,netProfit,noDistributeProfit,nonDistributeProfit,profit,totalAssets,totalLiability
6.1,871736,35651156.68,11620513.75,9.01,.92,6842198.29,8382645.67,,6076920.73,22431704.92,10811191.17
2.58,871967,102956760.99,10675238.59,5.86,.5738,4692910.12,7600909.39,,6427619.46,31753536.83,21078298.24
0,872162,3031451.61,54014497.24,1.07,-.0006,-32973.96,-462503.03,,-18704.42,68274933.89,14260436.65
.02,872166,1031373.99,16884897.88,1.69,.156,234712.7,4166149.45,,254020.2,25077857.31,8192959.43
.01,872172,2726248.18,29385141.02,1.73,.006,174527.67,6174668.44,,189134.5,48675743.32,19290602.3
.08,872176,3494879.15,17596350.63,1.76,.0468,801285.92,1490263.68,,1098000.33,30432075.48,12835724.85
-.03,872178,4541984.89,28422112.73,1.2,-.0283,-817290.94,19214.82,,-961518.75,42022288.71,13600175.98
.1,872181,7809135.86,22688120.27,1.13,.07,587535.92,2419308.24,,820751.9,55821689.58,33133569.31
4.14,835577,null,null,6.95,0.8431,105671781.65,,147604849.37,113435004.96,247051969.01,69601509.53
0.06,835003,null,null,4.43,0.0152,2291591.19,,79414816.42,3651352.08,699517030.44,527511890.40
0.14,831540,null,null,2.65,0.0742,10107922.29,,32564759.53,11745741.12,274665806.61,72007933.10
0.53,833881,null,null,3.96,0.1476,11179692.77,,42664354.67,11182605.39,116838142.52,34429441.31
0.18,834984,null,null,2.38,0.0974,17400652.02,,54894731.48,18429400.60,309039059.63,57128048.98
1.56,430267,null,null,6.11,0.2960,21095845.28,,63426789.39,24955575.75,266140115.35,183703082.14
0.93,833979,null,null,11.56,0.0837,509302431.58,,1882764000.12,482215226.57,10407710194.25,4300115283.78
0.05,872088,null,null,4.51,0.0061,1745288.93,,3754113.63,2294863.26,182642688.48,8860629.46
0.63,836645,null,null,3.45,0.1960,66207350.18,,159048357.09,77902538.85,405813565.70,42118520.68
null,836728,null,null,null,null,null,,null,null,null,null
0.41,834616,null,null,3.34,0.1248,62896827.25,,312387435.32,80850372.58,1806129370.59,1186983558.36
